"Time-Step";"flow-time";"tensao-a";"tensao-b";"tensao-c"
393;0.03274869;1058.893243699739;-658.2993422196498;-827.3491438968166
394;0.03283202;1054.162779657998;-642.0455177197489;-888.9797971623387
395;0.03291535;1049.711639954155;-624.2251297802374;-947.6881290749911
396;0.03299868;1042.927798706229;-605.701395247714;-1003.509844441363
397;0.03308201;1036.709804786575;-585.6703783433458;-1054.656743315976
398;0.03316534;1028.650872292041;-565.215993340233;-1101.378752927226
399;0.03324867;1023.191558439082;-543.4558694319505;-1142.808365758166
400;0.033332;1016.683169659036;-520.6310258113232;-1178.273977077359
401;0.03341533;1011.830080156211;-496.2731760085405;-1208.483524106212
402;0.03349866;1006.68933913697;-471.0488071767829;-1231.245115270292
403;0.03358199;1001.69433816186;-445.72942961385;-1247.529602349428
404;0.03366532;996.4172902626567;-419.8167666704925;-1260.963963872619
405;0.03374865;990.5211812679893;-394.2787225543653;-1269.696514612055
406;0.03383198;985.8704801172732;-368.0174795814136;-1274.741128035477
407;0.03391531;980.9954571457354;-342.4794352766503;-1277.511683777994
408;0.03399864;975.3597226955479;-317.377974547689;-1278.276413955382
409;0.03408197;971.6032922521453;-291.3998245698876;-1274.705680338195
410;0.0341653;968.2996159361403;-264.4140541229361;-1267.337560836229
411;0.03424863;964.1591232420498;-235.085211379989;-1262.790221714616
