Time-Step;flow-time;jmag(plano-eletrodos-a);jmag(plano-eletrodos-b);jmag(plano-eletrodos-c)
274.0;0.022742;6756909.221151563;18904867.0207863;7089730.711558557
275.0;0.022825;7140585.228467409;18563307.25780908;6426705.353459359
276.0;0.022908;7531419.123843048;18200066.6658344;5747135.18127913
277.0;0.022991;7951990.348983415;17834226.36009817;5075922.881222733
278.0;0.023074;8387263.482586934;17552363.04841447;4416359.475430935
279.0;0.023157;8824661.263233596;17157422.96570307;3763832.074531008
280.0;0.02324;9261658.700370476;16764788.54647791;3121191.837691041
281.0;0.023323;9688859.905056698;16334821.32756742;2497479.799943143
282.0;0.023406;10082032.44652658;15900119.88988992;1876302.072216474
283.0;0.023489;10442959.97543892;15296064.81826213;1264061.266341669
284.0;0.023572;10792868.47907149;14639093.38011037;659226.729777782
285.0;0.023655;11083741.69290065;13971095.61185841;149137.0717425762
286.0;0.023738;11357332.71765259;13265500.09609994;301997.6842660894
287.0;0.023821;11599777.63291107;12574958.20287068;694811.6486125652
288.0;0.023904;11865604.16735777;11905103.48087587;1054480.652636015
289.0;0.023987;12126624.7019809;11266424.52512914;1395050.249825004
290.0;0.02407;12397090.62368539;10714252.36060062;1722620.168110389
291.0;0.024153;12668309.06339818;10184483.39762916;2043399.936634271
292.0;0.024236;12922355.58463808;9763706.451234138;2352609.091102486
293.0;0.024319;13156397.49026736;9287199.070353283;2658394.894371951
294.0;0.024402;13385892.78331784;8917783.171148706;2951355.904191834
295.0;0.024485;13644727.43772211;8584988.378444627;3237263.245694379
296.0;0.024568;13878045.06667698;8355464.51188682;3506189.831671186
297.0;0.024651;14172028.44700724;8167978.323454351;3772622.361050297
298.0;0.024734;14451136.51173302;8071871.094407796;4038163.65307634
299.0;0.024817;15031238.88843293;8276228.856359206;4302314.68510467
300.0;0.0249;15734722.03804608;8750684.432459893;4556018.216210009
301.0;0.024983;16634027.12901582;9422364.541410785;4816403.477405299
302.0;0.025066;17409598.0067399;9965159.21122422;5074539.952778981
303.0;0.025149;18110481.27072403;10338490.38896842;5345844.08960827
304.0;0.025232;18466427.03176444;10344343.45115535;5627376.090118865
305.0;0.025315;18629008.26376227;10138810.34430844;5931367.373634885
306.0;0.025398;18668881.68368649;9789787.591623092;6237337.945032212
307.0;0.025481;18547050.20906186;9252079.40225914;6566531.594951479
308.0;0.025564;18397509.99901594;8672630.624278821;6906707.76201917
309.0;0.025647;18109859.22143525;8092189.550618667;7242545.16162681
310.0;0.02573;17824435.62365656;7356436.11174651;7614098.188388309
311.0;0.025813;17454852.30846523;6804719.492310711;7965252.958203739
312.0;0.025896;17160041.76964302;5943239.430893764;8346493.291917617
313.0;0.025979;16664256.40504883;5426271.925545529;8758210.704862708
314.0;0.026062;16402965.65885049;4574399.524569248;9201221.2111477
315.0;0.026145;15887876.65369565;4075390.236376004;9623659.352115894
316.0;0.026228;15524354.60699952;3327478.046491475;10039137.60669962
317.0;0.026311;15035498.42365949;2768341.985003551;10395385.09271062
318.0;0.026394;14613370.21250611;2149405.101732701;10747182.15701428
319.0;0.026477;14164487.55056482;1600485.389799552;11068126.01683917
