Time-Step;flow-time;tensao(plano-eletrodos-a);tensao(plano-eletrodos-b);tensao(plano-eletrodos-c)
361.0;0.029963;364.9397776582322;-339.9251530791632;207.0725552583623
362.0;0.030046;406.2295559079896;-354.5772097247512;198.2627698927338
363.0;0.030129;447.7257933675162;-365.2478242602617;174.7273762546051
364.0;0.030212;487.5886581508828;-381.1828403934038;169.354258803032
365.0;0.030295;527.6917682876812;-393.6911056544295;149.466531263622
366.0;0.030378;565.7361064282885;-410.7331257041673;144.3703438458255
367.0;0.030461;603.8972885170385;-423.7024019008478;124.6085455299819
368.0;0.030544;640.119519240028;-439.9423116209758;116.8792524251046
369.0;0.030627;675.3204145712409;-453.5834117313497;100.3123829887771
370.0;0.03071;707.9665117658733;-469.0940156461719;89.2897789789403
371.0;0.030793;740.4582756878567;-483.0335736345329;74.27932873971044
372.0;0.030876;770.6449659296366;-497.3459353541671;61.04266692368103
373.0;0.030959;797.763230961148;-512.6668584485607;47.0849370759969
374.0;0.031042;823.8949621078798;-524.6989304950503;31.15917583010232
375.0;0.031125;848.2370308043403;-532.7734294333313;13.70487817038023
376.0;0.031208;869.6735227225497;-542.9203920238206;-3.911192050570963
377.0;0.031291;889.8781600916499;-550.1737836376623;-21.31306669980468
378.0;0.031374;908.0502127038292;-554.2387921047552;-39.13157541433371
379.0;0.031457;923.1801359161311;-560.7887302776079;-56.90240013084118
380.0;0.03154;935.7525846795751;-566.6673383597898;-76.32684877018008
381.0;0.031623;947.664600618074;-574.1041068943085;-96.58843979845186
382.0;0.031706;957.9622636929371;-578.4375503852053;-117.5752010783814
383.0;0.031789;965.2536430141702;-589.3030435181315;-138.9564937290408
384.0;0.031872;971.7882080260697;-608.7863567407722;-163.4568716964995
385.0;0.031955;974.712983330165;-627.4919272324166;-189.8630565323932
386.0;0.032038;979.4951861370448;-645.0152682601602;-223.2321245543093
387.0;0.032121;983.6033702426788;-662.0148320300984;-261.4957168383349
388.0;0.032204;986.401903427809;-677.9091280190883;-302.6846481421678
389.0;0.032287;987.3383554952574;-688.8286361819901;-345.3792053826409
390.0;0.03237;987.4254523133607;-695.1876743261071;-388.1951999965889
391.0;0.032453;986.266834234236;-697.2312435023008;-430.6534058961578
392.0;0.032536;983.2440776076868;-696.0571503514858;-472.9826721215535
393.0;0.032619;981.0826349081376;-688.6290419860054;-514.4102934019697
394.0;0.032702;977.8502108194515;-682.1853673846224;-556.013830460529
395.0;0.032785;975.007414353393;-666.9648799851775;-596.3546651650252
396.0;0.032868;971.6420033545174;-645.7099406344753;-635.6935337295164
397.0;0.032951;967.200933025391;-619.1880835742521;-674.0769947590621
