"Time-Step";"flow-time";"current_in_a";"current_in_b";"current_in_c"
325;0.02708225;19934281.04186067;3395050.77090719;24072824.01871894
326;0.02716558;19382003.53407149;3818655.603313416;24321451.69708306
327;0.02724891;18741554.61819433;4246637.006662803;24504033.01829966
328;0.02733224;18090502.6389879;4695045.955395033;24701906.26871962
329;0.02741557;17354499.0127529;5179269.532927885;24859840.26970003
330;0.0274989;16643045.53828679;5720211.912420901;25000344.04704708
331;0.02758223;15878319.49571207;6345314.093733557;25111056.79499649
332;0.02766556;15087533.49217018;7004473.73990274;25210195.31521932
333;0.02774889;14271797.71658057;7692122.500460121;25281860.90243543
334;0.02783222;13439674.99603217;8377711.232211529;25315924.48350774
335;0.02791555;12583129.28196489;9100240.095382119;25336063.29528322
336;0.02799888;11701766.34478569;9841773.74503204;25344826.62825149
337;0.02808221;10816582.99901718;10583461.46704055;25300443.38824587
338;0.02816554;9916438.367099661;11358286.24500648;25263446.27829217
339;0.02824887;8988713.740893248;12142897.69535314;25114776.92530506
340;0.0283322;8049547.294899915;12928374.23442762;24996812.1386966
341;0.02841553;7091606.136952559;13725408.85309462;24862335.14397683
342;0.02849886;6139045.02998561;14506961.07298113;24679378.29606086
343;0.02858219;5199435.334209861;15290862.34852568;24481278.61349057
344;0.02866552;4292215.427168018;16030241.86262687;24256816.35032797
345;0.02874885;3426200.467276164;16781636.27023171;24010103.11487809
346;0.02883218;2620489.123156931;17536068.32234273;23765074.03830557
347;0.02891551;1887876.943911917;18295513.97375033;23518241.17817753
348;0.02899884;1239382.531219495;19020300.51999447;23264359.44787506
349;0.02908217;671976.9627547268;19724064.23043131;23000349.01273415
350;0.0291655;161045.9574749524;20415501.06317376;22720527.47785763
351;0.02924883;321917.0890603127;21069650.37672907;22430048.02814524
352;0.02933216;782089.5393552936;21745917.35250203;22134317.76178323
353;0.02941549;1230038.030512205;22331512.5756884;21801420.009851
354;0.02949882;1668187.592817367;22874875.40252257;21454698.16374328
355;0.02958215;2106244.090447624;23412147.30417374;21073776.64914111
356;0.02966548;2535440.97306663;23862030.68706486;20652105.87215394
357;0.02974881;2961954.18157612;24298695.17841222;20206154.67862637
358;0.02983214;3382953.089827538;24659166.52988773;19708370.28332499
359;0.02991547;3801805.989608857;24978479.8639531;19170308.54504893
360;0.0299988;4223910.005519076;25234729.85999297;18592257.50804544
361;0.03008213;4654729.203492865;25462755.50483231;17978252.52992085
362;0.03016546;5113417.021313437;25642817.94434347;17319427.82208376
363;0.03024879;5594646.68356418;25774787.66948352;16619821.13679083
364;0.03033212;6116554.141281814;25871065.22467573;15876330.66392773
365;0.03041545;6686310.264017144;25934195.42229979;15108870.55595594
366;0.03049878;7352414.398581313;25951190.3624848;14287689.48584561
367;0.03058211;8058819.181990222;25935302.83255545;13443336.84749156
368;0.03066544;8790888.628846964;25870496.53455351;12564108.05975067
369;0.03074877;9572047.40569305;25780148.62448189;11655103.02821912
370;0.0308321;10397001.15785621;25663451.15822025;10740120.69133348
371;0.03091543;11191172.22489674;25503565.51114093;9816532.81441134
372;0.03099876;11959206.42763071;25340133.94604742;8887899.332524842
373;0.03108209;12716118.08451543;25116078.96406856;7952782.14680003
374;0.03116542;13434704.61898729;24886396.65398164;7024851.977614963
375;0.03124875;14117723.15890132;24608884.21424688;6108404.45145195
376;0.03133208;14811142.14307895;24313971.98361984;5211887.908151072
377;0.03141541;15490776.19747843;24007450.6011213;4345572.981021719
378;0.03149874;16160205.96138665;23674272.91630037;3530270.099893459
379;0.03158207;16828732.48222502;23331479.16441832;2770614.620965724
380;0.0316654;17468710.50307103;22993482.0514547;2070835.400572732
381;0.03174873;18072242.39704487;22642308.02421186;1423972.488471869
382;0.03183206;18660103.49198193;22289841.76418003;829220.1235182447
383;0.03191539;19208612.13400267;21940798.44346599;283986.9582968407
384;0.03199872;19763014.1496862;21583642.62839824;226660.4533915627
385;0.03208205;20303118.38303345;21207515.70129633;702998.0090848545
386;0.03216538;20817639.19464914;20815113.83677693;1160998.465090303
387;0.03224871;21299794.96077241;20400250.99151986;1606691.137574834
388;0.03233204;21762846.23620212;19958556.17651834;2045569.983223952
389;0.03241537;22184703.68269578;19499990.75882371;2483540.140414195
390;0.0324987;22601802.05339327;19029571.75560434;2917127.879568865
391;0.03258203;23012772.38780227;18557122.15728949;3353185.112087571
392;0.03266536;23418384.01547923;18061311.97029501;3790307.308912421
393;0.03274869;23792448.05303982;17554501.42985782;4225584.999637876
394;0.03283202;24172605.59222392;17036725.51636689;4669315.121751498
395;0.03291535;24518306.08592227;16509995.39828975;5133339.6062855
396;0.03299868;24846677.9330026;15965836.46180938;5620664.40371699
397;0.03308201;25147094.67374162;15401986.41667872;6153565.172504934
398;0.03316534;25443540.63015845;14814643.75846056;6729565.542495299
399;0.03324867;25679838.42996732;14204556.31101532;7349666.707809775
400;0.033332;25888724.51286019;13574596.08038651;8020608.285618883
401;0.03341533;26068040.33378216;12921689.41253387;8793337.639627034
402;0.03349866;26204727.87856913;12236764.31629635;9695192.882328007
403;0.03358199;26313107.10437832;11524808.51189689;10650763.9264632
404;0.03366532;26385891.88330118;10793251.60485303;11557361.76863661
