Time-Step;flow-time;current_in_a;current_in_b;current_in_c
2480;0.0124;-1322356.032919368;-29701641.81297446;31023997.84589384
2490;0.01245;-661295.4940297832;-30048363.31827836;30709658.81230814
2500;0.0125;-6.444990319746007e-09;-30384408.78317411;30384408.78317412
2510;0.01255;661295.4940298015;-30709658.81230816;30048363.31827836
2520;0.0126;1322356.032919355;-31023997.84589383;29701641.81297448
2530;0.01265;1982946.745007029;-31327314.20076931;29344367.45576229
2540;0.0127;2642832.925558205;-31619500.11007794;28976667.18451973
2550;0.01275;3301780.120155123;-31900451.76155746;28598671.64140233
2560;0.0128;3959554.207997165;-32170069.33442386;28210515.12642669
2570;0.01285;4615921.485082929;-32428257.03483731;27812335.54975437
2580;0.0129;5270648.747244359;-32674923.12993726;27404274.3826929
2590;0.01295;5923503.373002678;-32909979.98043464;26986476.60743198
2600;0.013;6574253.40621803;-33133344.07174974;26559090.6655317
2610;0.01305;7222667.638502237;-33344936.04368446;26122268.40518224
2620;0.0131;7868515.691366099;-33544680.71861872;25676165.02725264
2630;0.01315;8511568.098071683;-33732507.12822062;25220939.03014895
2640;0.0132;9151596.385160832;-33908348.53866116;24756752.15350032
2650;0.01325;9788373.153630733;-34072142.47432452;24283769.3206938
2660;0.0133;10421672.15972765;-34223830.74000528;23802158.58027762
2670;0.01335;11051268.39533023;-34363359.44158491;23312091.0462547
2680;0.0134;11676938.16789391;-34490679.00518017;22813740.83728627
2690;0.01345;12298459.17992761;-34605744.1947563;22307285.01482868
2700;0.0135;12915610.60797529;-34708514.12819938;21792903.52022409
2710;0.01355;13528173.18107313;-34798952.2918414;21270779.11076829
2720;0.0136;14135929.25865572;-34877026.55343344;20741097.29477771
2730;0.01365;14738662.90788264;-34942709.17356213;20204046.26567949
2740;0.0137;15336159.98035821;-34995976.81550528;19659816.83514706
2750;0.01375;15928208.18821776;-35036810.55352336;19108602.3653056
2760;0.0138;16514597.17955207;-35065195.87958368;18550598.70003161
2770;0.01385;17095118.61314466;-35081122.70851506;17986004.09537041
2780;0.0139;17669566.23249443;-35084585.38159099;17415019.14909656
2790;0.01395;18237735.93909752;-35075582.66854025;16837846.72944275
2800;0.014;18799425.86496261;-35054117.76798391;16254691.90302132
2810;0.01405;19354436.44433353;-35020198.3062989;15665761.86196537
2820;0.0141;19902570.48459422;-34973836.33490849;15071265.8503143
2830;0.01415;20443633.23633019;-34915048.32600033;14471415.08967017
2840;0.0142;20977432.46252204;-34843855.16667407;13866422.70415203
2850;0.01425;21503778.50684651;-34760282.15152021;13256503.64467371
2860;0.0143;22022484.36106021;-34664358.97363312;12641874.6125729
2870;0.01435;22533365.73144314;-34556119.71406112;12022753.98261796
2880;0.0144;23036241.10427696;-34435602.82969775;11399361.72542083
2890;0.01445;23530931.81033619;-34302851.13961819;10771919.32928199
2900;0.0145;24017262.08836855;-34157911.80986579;10140649.72149723
2910;0.01455;24495059.14754191;-34000836.33669427;9505777.189152379
2920;0.0146;24964153.2288363;-33831680.52827132;8867527.299435044
2930;0.01465;25424377.66535822;-33650504.48485022;8226126.819491996
2940;0.0147;25875568.9415568;-33457372.5774165;7581803.635859718
2950;0.01475;26317566.75132003;-33252353.42481725;6934786.67349721
2960;0.0148;26750214.05493074;-33035519.86938116;6285305.814450415
2970;0.01485;27173357.13486201;-32806948.95103801;5633591.816176032
2980;0.0149;27586845.65039243;-32566721.87994672;4979876.229554312
2990;0.01495;27990532.69102127;-32314924.00764177;4324391.3166205
3000;0.015;28384274.82866521;-32051644.79670824;3667369.968043054
3010;0.01505;28767932.1686176;-31776977.78899612;3009045.620378515
3020;0.0151;29141368.39925241;-31491020.5723854;2349652.173132982
3030;0.01515;29504450.84045501;-31193874.74611352;1689423.905658542
3040;0.0152;29857050.49076293;-30885645.88467766;1028595.393914752
3050;0.01525;30199042.07319935;-30566443.50032463;367401.427125282
3060;0.0153;30530304.07978345;-30236381.00414167;-293923.0756417582
3070;0.01535;30850718.81470167;-29895575.66576201;-955143.1489396346
3080;0.0154;31160172.43612434;-29544148.57169965;-1616023.864424657
3090;0.01545;31458554.99665331;-29182224.58232769;-2276330.4143256
3100;0.0155;31745760.48238559;-28809932.28751625;-2935828.19486935
3110;0.01555;32021686.85057968;-28427403.96094492;-3594282.889634754
3120;0.0156;32286236.06591079;-28034775.51310671;-4251460.552804073
3130;0.01565;32539314.13530238;-27632186.44301964;-4907127.692282751
3140;0.0157;32780831.14132151;-27219779.78866323;-5561051.352658289
3150;0.01575;33010701.2741259;-26797702.07615814;-6212999.19796777
3160;0.0158;33228842.86195197;-26366103.26770577;-6862739.594246202
3170;0.01585;33435178.40013224;-25925136.7083077;-7510041.691824543
3180;0.0159;33629634.57863248;-25474959.07128279;-8154675.507349669
3190;0.01595;33812142.30809842;-25015730.30260185;-8796412.005496541
3200;0.016;33982636.74440278;-24547613.56405979;-9435023.180342957
3210;0.01605;34141057.3116842;-24070775.17530474;-10070282.13637943
3220;0.0161;34287347.72386946;-23585384.55474574;-10701963.16912369
3230;0.01615;34421456.00467166;-23091614.15935908;-11329841.84531256
3240;0.0162;34543334.50605725;-22589639.42341498;-11953695.08264223
3250;0.01625;34652939.92517499;-22079638.69614704;-12573301.22902796
3260;0.0163;34750233.31974138;-21561793.17838512;-13188440.14135628
3270;0.01635;34835180.1218766;-21036286.85817598;-13798893.26370063
3280;0.0164;34907750.15038634;-20503306.44541285;-14404443.7049735
3290;0.01645;34967917.62148502;-19963041.30549858;-15004876.31598646
3300;0.0165;35015661.15795665;-19415683.39206489;-15599977.76589177
3310;0.01655;35050963.79675007;-18861427.17877202;-16189536.61797806
3320;0.0166;35073812.9950058;-18300469.59021344;-16773343.40479232
3330;0.01665;35084200.63451251;-17733009.9319493;-17351190.70256316
